New Rank,Previous Rank,Name,Company,Category,Link,Reason,Date stamp
496,-,Block! Triangle puzzle:Tangram,BitMango,IOS Free,https://www.appannie.com/apps/ios/app/block-triangle-puzzle-tangram/details/,New entry,2020-06-29 18:24:32
497,-,Draw it,Kwalee,IOS Free,https://www.appannie.com/apps/ios/app/draw-it-3/details/,New entry,2020-06-29 18:24:34
500,-,Redfin Buy & Sell Real Estate,Redfin,IOS Free,https://www.appannie.com/apps/ios/app/real-estate-by-redfin-search-homes-condos-town-houses-for-sale/details/,New entry,2020-06-29 18:24:35
17,-,A Normal Lost Phone,Plug In Digital,IOS Paid,https://www.appannie.com/apps/ios/app/a-normal-lost-phone/details/,New entry,2020-06-29 18:24:36
18,-,Colors For Twitter,Hassan Mehboob,IOS Paid,https://www.appannie.com/apps/ios/app/colors-for-twitter/details/,New entry,2020-06-29 18:24:38
47,-,Crying Suns,Humble Bundle,IOS Paid,https://www.appannie.com/apps/ios/app/crying-suns-2/details/,New entry,2020-06-29 18:24:39
88,-,Very Little Nightmares,BANDAI NAMCO Entertainment,IOS Paid,https://www.appannie.com/apps/ios/app/very-little-nightmares/details/,New entry,2020-06-29 18:24:41
101,-,iVerify. - Secure your Phone!,Trail of Bits,IOS Paid,https://www.appannie.com/apps/ios/app/iverify-2/details/,New entry,2020-06-29 18:24:42
110,-,The Almost Gone,Playdigious,IOS Paid,https://www.appannie.com/apps/ios/app/the-almost-gone/details/,New entry,2020-06-29 18:24:43
120,-,I Post My Way,One Inc.,IOS Paid,https://www.appannie.com/apps/ios/app/i-post-my-way/details/,New entry,2020-06-29 18:24:45
127,-,Juicy Realm,X.D. Network,IOS Paid,https://www.appannie.com/apps/ios/app/juicy-realm/details/,New entry,2020-06-29 18:24:46
134,-,Cleverbot,Icogno,IOS Paid,https://www.appannie.com/apps/ios/app/cleverbot/details/,New entry,2020-06-29 18:24:48
141,-,The Room Three,Fireproof Games,IOS Paid,https://www.appannie.com/apps/ios/app/the-room-three/details/,New entry,2020-06-29 18:24:49
166,-,Youtubers Life: Gaming Channel,UPlay online,IOS Paid,https://www.appannie.com/apps/ios/app/youtubers-life/details/,New entry,2020-06-29 18:24:50
167,-,Gone Home,Annapurna,IOS Paid,https://www.appannie.com/apps/ios/app/gone-home/details/,New entry,2020-06-29 18:24:52
197,-,My City : Jail House,My Town,IOS Paid,https://www.appannie.com/apps/ios/app/my-city-jail-house/details/,New entry,2020-06-29 18:24:53
218,-,Kingdom Two Crowns,Raw Fury,IOS Paid,https://www.appannie.com/apps/ios/app/kingdom-two-crowns/details/,New entry,2020-06-29 18:24:54
229,-,Iron Marines,Ironhide,IOS Paid,https://www.appannie.com/apps/ios/app/1056920931/details/,New entry,2020-06-29 18:24:56
231,-,The House of Da Vinci 2,Blue Brain Games,IOS Paid,https://www.appannie.com/apps/ios/app/the-house-of-da-vinci-2/details/,New entry,2020-06-29 18:24:57
243,-,SpongeBob: Sponge on the Run,Nickelodeon,IOS Paid,https://www.appannie.com/apps/ios/app/spongebob-sponge-on-the-run/details/,New entry,2020-06-29 18:24:58
252,-,The House of Da Vinci,Blue Brain Games,IOS Paid,https://www.appannie.com/apps/ios/app/the-house-of-da-vinci/details/,New entry,2020-06-29 18:25:00
256,-,Door Kickers,KillHouse Games,IOS Paid,https://www.appannie.com/apps/ios/app/door-kickers/details/,New entry,2020-06-29 18:25:01
273,-,Human Anatomy Atlas 2021,Visible Body,IOS Paid,https://www.appannie.com/apps/ios/app/human-anatomy-atlas-2017-edition-complete-3d-human-body/details/,New entry,2020-06-29 18:25:03
279,-,while True: learn(),Nival,IOS Paid,https://www.appannie.com/apps/ios/app/while-true-learn/details/,New entry,2020-06-29 18:25:04
282,-,Pocket GM 20 - Football,Jonathan Howell,IOS Paid,https://www.appannie.com/apps/ios/app/pocket-gm-20-football/details/,New entry,2020-06-29 18:25:05
292,-,Mirror for Amazon Fire TV,AirBeamTV BV,IOS Paid,https://www.appannie.com/apps/ios/app/mirror-for-amazon-fire-tv/details/,New entry,2020-06-29 18:25:07
303,-,Spy hidden camera Detector,Jakobi Teknik,IOS Paid,https://www.appannie.com/apps/ios/app/spy-hidden-camera-detector/details/,New entry,2020-06-29 18:25:08
305,-,Roll 20!,Ziga Porenta,IOS Paid,https://www.appannie.com/apps/ios/app/roll-20/details/,New entry,2020-06-29 18:25:10
310,-,Toca Life: After School,Toca Boca,IOS Paid,https://www.appannie.com/apps/ios/app/1337598066/details/,New entry,2020-06-29 18:25:11
312,-,Just Press Record,Open Planet Software,IOS Paid,https://www.appannie.com/apps/ios/app/just-press-record-voice-and-audio-recorder-with-automatic-sync/details/,New entry,2020-06-29 18:25:12
315,-,METAL SLUG 1,SNK,IOS Paid,https://www.appannie.com/apps/ios/app/metal-slug-1/details/,New entry,2020-06-29 18:25:14
335,-,InseAquarium: Crazy Aqurium,Qiang Shi,IOS Paid,https://www.appannie.com/apps/ios/app/inseaquarium-crazy-aqurium/details/,New entry,2020-06-29 18:25:15
339,-,Tenuto,musictheory,IOS Paid,https://www.appannie.com/apps/ios/app/tenuto/details/,New entry,2020-06-29 18:25:17
341,-,Journey,Annapurna,IOS Paid,https://www.appannie.com/apps/ios/app/journey-6/details/,New entry,2020-06-29 18:25:18
344,-,CHRONO TRIGGER (Upgrade Ver.),SQUARE ENIX,IOS Paid,https://www.appannie.com/apps/ios/app/chrono-trigger/details/,New entry,2020-06-29 18:25:20
349,-,AmiiBot,Rui Zhou,IOS Paid,https://www.appannie.com/apps/ios/app/amiibot/details/,New entry,2020-06-29 18:25:21
350,-,Agent A: A puzzle in disguise,Yak & co,IOS Paid,https://www.appannie.com/apps/ios/app/agent-a-a-puzzle-in-disguise/details/,New entry,2020-06-29 18:25:22
351,-,MEGA MAN X,CAPCOM,IOS Paid,https://www.appannie.com/apps/ios/app/mega-man-x/details/,New entry,2020-06-29 18:25:24
353,-,Ghost EVP Radio - Paranormal,Exelerus,IOS Paid,https://www.appannie.com/apps/ios/app/ghost-evp-radio-paranormal/details/,New entry,2020-06-29 18:25:25
357,-,Face Morph - Morph 2 Faces,kyoung hee park,IOS Paid,https://www.appannie.com/apps/ios/app/face-morph-morph-2-faces/details/,New entry,2020-06-29 18:25:26
362,-,The Mandalorian Stickers,Disney,IOS Paid,https://www.appannie.com/apps/ios/app/1490526714/details/,New entry,2020-06-29 18:25:28
363,-,PicTapGo - Photo Editor,Totally Rad,IOS Paid,https://www.appannie.com/apps/ios/app/pictapgo/details/,New entry,2020-06-29 18:25:29
366,-,Cachly - Geocaching,Zed Said Studio LLC,IOS Paid,https://www.appannie.com/apps/ios/app/cachly-simple-powerful-geocaching/details/,New entry,2020-06-29 18:25:31
368,-,Koala Sampler,Marek Bereza,IOS Paid,https://www.appannie.com/apps/ios/app/koala-sampler/details/,New entry,2020-06-29 18:25:32
369,-,Baby Monitor 3G,TappyTaps,IOS Paid,https://www.appannie.com/apps/ios/app/baby-monitor-3g/details/,New entry,2020-06-29 18:25:33
372,-,Fliqlo,Yuji Adachi,IOS Paid,https://www.appannie.com/apps/ios/app/fliqlo-for-ios-flip-clock/details/,New entry,2020-06-29 18:25:35
373,-,Phrase Party!,iParty,IOS Paid,https://www.appannie.com/apps/ios/app/phrase-party/details/,New entry,2020-06-29 18:25:36
374,-,My Earthquake Alerts Pro,jRuston Apps,IOS Paid,https://www.appannie.com/apps/ios/app/my-earthquake-alerts-pro-news/details/,New entry,2020-06-29 18:25:37
376,-,Zombie Night Terror,Plug In Digital,IOS Paid,https://www.appannie.com/apps/ios/app/zombie-night-terror/details/,New entry,2020-06-29 18:25:39
377,-,Camera+ Legacy,tap tap tap,IOS Paid,https://www.appannie.com/apps/ios/app/camera-2/details/,New entry,2020-06-29 18:25:40
381,-,HamStudy.org,Signal Stuff,IOS Paid,https://www.appannie.com/apps/ios/app/hamstudy-org/details/,New entry,2020-06-29 18:25:42
382,-,BabyScope Hear Baby Heartbeat,Serendi LTD,IOS Paid,https://www.appannie.com/apps/ios/app/babyscope-listen-to-fetal-heartbeat-sound/details/,New entry,2020-06-29 18:25:43
384,-,Video & TV Cast + Google Cast,2kit Consulting,IOS Paid,https://www.appannie.com/apps/ios/app/1136232806/details/,New entry,2020-06-29 18:25:44
385,-,Ventusky: Weather Maps,InMeteo,IOS Paid,https://www.appannie.com/apps/ios/app/ventusky/details/,New entry,2020-06-29 18:25:46
388,-,Splendor™: The Board Game,Asmodee,IOS Paid,https://www.appannie.com/apps/ios/app/971215921/details/,New entry,2020-06-29 18:25:47
389,-,Melbits World,Doublethink Games,IOS Paid,https://www.appannie.com/apps/ios/app/melbits-world-2/details/,New entry,2020-06-29 18:25:48
390,-,10bii Financial Calculator,Day Development,IOS Paid,https://www.appannie.com/apps/ios/app/10bii-financial-calculator-2/details/,New entry,2020-06-29 18:25:50
391,-,Hue Disco,MediaVibe,IOS Paid,https://www.appannie.com/apps/ios/app/hue-disco/details/,New entry,2020-06-29 18:25:51
392,-,Multiplayer Terraria edition,OGN,IOS Paid,https://www.appannie.com/apps/ios/app/multiplayer-terraria-edition/details/,New entry,2020-06-29 18:25:53
393,-,Roadside America,This Exit,IOS Paid,https://www.appannie.com/apps/ios/app/roadside-america/details/,New entry,2020-06-29 18:25:54
394,-,Remote Mouse Pro,Yao Ruan,IOS Paid,https://www.appannie.com/apps/ios/app/remote-mouse/details/,New entry,2020-06-29 18:25:55
395,-,The Campaign Manager,Kevin Bradford,IOS Paid,https://www.appannie.com/apps/ios/app/campaign-manager-presidential/details/,New entry,2020-06-29 18:25:57
397,-,PAW Patrol: Air & Sea,Nickelodeon,IOS Paid,https://www.appannie.com/apps/ios/app/paw-patrol-pups-take-flight/details/,New entry,2020-06-29 18:25:58
398,-,Virtual Villagers 3,Last Day of Work,IOS Paid,https://www.appannie.com/apps/ios/app/virtual-villagers-3-the-secret-city/details/,New entry,2020-06-29 18:25:59
399,-,SkyDroid - Golf GPS,Folla Media,IOS Paid,https://www.appannie.com/apps/ios/app/skydroid-golf-gps/details/,New entry,2020-06-29 18:26:01
400,-,PLANBELLA - Planner App,Netzinkubator Software GmbH,IOS Paid,https://www.appannie.com/apps/ios/app/planbella-planner-app/details/,New entry,2020-06-29 18:26:02
401,-,Cytus,Rayark,IOS Paid,https://www.appannie.com/apps/ios/app/cytus/details/,New entry,2020-06-29 18:26:04
402,-,THE KING OF FIGHTERS '97,SNK,IOS Paid,https://www.appannie.com/apps/ios/app/the-king-of-fighters-97/details/,New entry,2020-06-29 18:26:05
404,-,Wake Up for Spotify Music,Daniel Gil,IOS Paid,https://www.appannie.com/apps/ios/app/alarmify-for-spotify-music/details/,New entry,2020-06-29 18:26:06
405,-,Outlaws - Dirt Track Racing 2,Serdar Akgul,IOS Paid,https://www.appannie.com/apps/ios/app/outlaws-dirt-track-racing/details/,New entry,2020-06-29 18:26:08
406,-,Network Analyzer Pro,Techet,IOS Paid,https://www.appannie.com/apps/ios/app/network-analyzer-ping-traceroute/details/,New entry,2020-06-29 18:26:09
407,-,RollerCoaster Tycoon® 3,Frontier Developments,IOS Paid,https://www.appannie.com/apps/ios/app/rollercoaster-tycoonr-3/details/,New entry,2020-06-29 18:26:11
408,-,iAmNotified - Anti Spy System,Tommaso Concato,IOS Paid,https://www.appannie.com/apps/ios/app/iamnotified-security-against-physical-access/details/,New entry,2020-06-29 18:26:12
411,-,Weaphones: Firearms Simulator Volume 1,OranginalPlan,IOS Paid,https://www.appannie.com/apps/ios/app/weaphones-firearms-simulator-volume-1/details/,New entry,2020-06-29 18:26:13
413,-,VeinSeek Pro,VeinSeek,IOS Paid,https://www.appannie.com/apps/ios/app/veinseek-pro/details/,New entry,2020-06-29 18:26:15
414,-,Cleartune,Bitcount,IOS Paid,https://www.appannie.com/apps/ios/app/cleartune-chromatic-tuner/details/,New entry,2020-06-29 18:26:16
416,-,Auto-Tune Mobile,Antares Audio Technology Inc,IOS Paid,https://www.appannie.com/apps/ios/app/auto-tune-mobile/details/,New entry,2020-06-29 18:26:17
417,-,ASL Dictionary Sign Language,Software Studios,IOS Paid,https://www.appannie.com/apps/ios/app/asl-dictionary-hd-american/details/,New entry,2020-06-29 18:26:19
418,-,Yellowstone GyPSy Guide Tour,GyPSy Guide,IOS Paid,https://www.appannie.com/apps/ios/app/yellowstone-gypsy-driving/details/,New entry,2020-06-29 18:26:20
420,-,Ref Guide for Essential Oils,Abundant Health,IOS Paid,https://www.appannie.com/apps/ios/app/ref-guide-for-essential-oils/details/,New entry,2020-06-29 18:26:22
421,-,BirdGenie,Princeton University Press,IOS Paid,https://www.appannie.com/apps/ios/app/birdgenie/details/,New entry,2020-06-29 18:26:23
423,-,Trail Boss BMX,Noodlecake Studios,IOS Paid,https://www.appannie.com/apps/ios/app/trailboss-bmx/details/,New entry,2020-06-29 18:26:24
424,-,Virtual Villagers 5,Last Day of Work,IOS Paid,https://www.appannie.com/apps/ios/app/virtual-villagers-5-new-believers-2/details/,New entry,2020-06-29 18:26:26
428,-,If Found...,Annapurna,IOS Paid,https://www.appannie.com/apps/ios/app/if-found-2/details/,New entry,2020-06-29 18:26:27
429,-,Shred! 2 - ft Sam Pilgrim,ASBO Interactive,IOS Paid,https://www.appannie.com/apps/ios/app/shred-2-freeride-mtb/details/,New entry,2020-06-29 18:26:29
430,-,ExamFX Life & Health Exam Prep,ExamFX,IOS Paid,https://www.appannie.com/apps/ios/app/examfx-life-health-exam-prep/details/,New entry,2020-06-29 18:26:30
431,-,Geekbench 5,Primate Labs,IOS Paid,https://www.appannie.com/apps/ios/app/geekbench-5/details/,New entry,2020-06-29 18:26:31
432,-,Dish - My Rv Satellite Finder,Michael Berg,IOS Paid,https://www.appannie.com/apps/ios/app/dish-for-my-rv-satellite-finder/details/,New entry,2020-06-29 18:26:33
434,-,US Public Lands,Two Steps Beyond,IOS Paid,https://www.appannie.com/apps/ios/app/us-public-lands/details/,New entry,2020-06-29 18:26:34
435,-,Stick Nodes Pro - Animator,ForTheLoss,IOS Paid,https://www.appannie.com/apps/ios/app/stick-nodes-pro/details/,New entry,2020-06-29 18:26:35
437,-,Ace Attorney: Dual Destinies,CAPCOM,IOS Paid,https://www.appannie.com/apps/ios/app/phoenix-wright-ace-attorney/details/,New entry,2020-06-29 18:26:37
439,-,SIMULACRA 2,Kaigan Games OÜ,IOS Paid,https://www.appannie.com/apps/ios/app/simulacra-2/details/,New entry,2020-06-29 18:26:38
442,-,DOOM,Bethesda,IOS Paid,https://www.appannie.com/apps/ios/app/doom-classic/details/,New entry,2020-06-29 18:26:40
443,-,Star Rover - Stargazing Guide,EEFan,IOS Paid,https://www.appannie.com/apps/ios/app/star-rover-stargazing-night/details/,New entry,2020-06-29 18:26:41
445,-,Evil Minds: Dirty Charades!,Evil Studios Limited,IOS Paid,https://www.appannie.com/apps/ios/app/evil-minds-dirty-charades!/details/,New entry,2020-06-29 18:26:42
446,-,Alarm Clock for Me,Apalon,IOS Paid,https://www.appannie.com/apps/ios/app/749125114/details/,New entry,2020-06-29 18:26:44
447,-,NDI HX Camera,NewTek,IOS Paid,https://www.appannie.com/apps/ios/app/ndi-hx-camera/details/,New entry,2020-06-29 18:26:45
448,-,FACEinHOLE®,LisbonLabs,IOS Paid,https://www.appannie.com/apps/ios/app/faceinhole-who-do-you-want/details/,New entry,2020-06-29 18:26:47
449,-,12 Steps Companion AA Big Book,Dean Huff,IOS Paid,https://www.appannie.com/apps/ios/app/12-steps-aa-companion-alcoholics/details/,New entry,2020-06-29 18:26:48
450,-,Seconds Pro - Interval Timer,Runloop,IOS Paid,https://www.appannie.com/apps/ios/app/seconds-pro-timer-for-interval-training-circuit-training-hiit-tabata-wod-and-fitness-workouts/details/,New entry,2020-06-29 18:26:49
452,-,US Debt Clock .org,Chrono Numeric Labs,IOS Paid,https://www.appannie.com/apps/ios/app/us-debt-clock-org/details/,New entry,2020-06-29 18:26:51
453,-,BADLAND 2,Frogmind,IOS Paid,https://www.appannie.com/apps/ios/app/1007120869/details/,New entry,2020-06-29 18:26:52
455,-,Doodle Devil™,JoyBits,IOS Paid,https://www.appannie.com/apps/ios/app/doodle-deviltm/details/,New entry,2020-06-29 18:26:54
456,-,Ultimate General™: Gettysburg,Game Labs,IOS Paid,https://www.appannie.com/apps/ios/app/ultimate-general-gettysburg/details/,New entry,2020-06-29 18:26:55
458,-,Sticker Babai: Telugu Stickers,tarun kurapati,IOS Paid,https://www.appannie.com/apps/ios/app/sticker-babai-telugu-stickers-2/details/,New entry,2020-06-29 18:26:56
459,-,Mobizen!,ADAM SHAW,IOS Paid,https://www.appannie.com/apps/ios/app/mobizen/details/,New entry,2020-06-29 18:26:58
